path,language,kind,current_source,indexed_by_sitemap,redirect_status,intent,notes
/,en,home,app+sitemap,yes,none,stable,"Canonical English home. Legacy /home variants redirect here with 301; /home remains a noindex compatibility alias in the app source."
/home/,en,legacy alias,app+redirects,no,301 -> /,stable,"Compatibility alias only. The alias layout is noindex,follow and Cloudflare redirects public requests to the canonical root."
/about/,en,primary,sitemap,yes,none,stable,"ESTHER. Content architecture may evolve later; public URL should remain stable unless ADR says otherwise."
/archive/,en,featured entrance,sitemap,yes,none,will-change,"Current CHILDHOOD doorway; future collection architecture will preserve URL/redirect policy."
/books/,en,primary,sitemap,yes,none,will-change,"BOOKS remains top-level; future publishing/rights data model expected."
/notes/,en,featured entrance,sitemap,yes,none,will-change,"Current MORNING TABLE doorway; future collection architecture expected."
/stories/,en,primary,sitemap,yes,none,will-change,"Canonical story center; major S1/S3 architecture target."
/studio/,en,primary,sitemap,yes,none,stable,"STUDIO remains top-level; media system will later centralize archival rendering."
/stories/my-father-dreamed-of-a-tiger/,en,story,sitemap,yes,none,will-change,"Existing English-only story route; localized metadata is intentionally disabled until a Korean story page exists."
/stories/the-youngest-daughter-in-every-house/,en,story,sitemap,yes,none,will-change,"Existing English-only story route; localized metadata is intentionally disabled until a Korean story page exists."
/childhood/,en,legacy alias,redirects,no,301 -> /archive/,stable,"Keep redirect compatibility unless URL policy ADR explicitly retires it."
/morning-table/,en,legacy alias,redirects,no,301 -> /notes/,stable,"Keep redirect compatibility unless URL policy ADR explicitly retires it."
/esther/,en,legacy alias,redirects,no,301 -> /about/,stable,"Keep redirect compatibility unless URL policy ADR explicitly retires it."
/ko/,ko,home,app+sitemap,yes,none,stable,"Canonical Korean home. /ko without a trailing slash and /ko/home variants redirect here with 301; /ko/home remains a noindex compatibility alias in the app source."
/ko/home/,ko,legacy alias,app+redirects,no,301 -> /ko/,stable,"Compatibility alias only. The alias layout is noindex,follow and Cloudflare redirects public requests to the canonical Korean root."
/ko/about/,ko,primary,sitemap,yes,none,stable,"조성연. Korean typography/content remains independently art-directed."
/ko/archive/,ko,featured entrance,sitemap,yes,none,will-change,"Current 어린 시절 doorway."
/ko/books/,ko,primary,sitemap,yes,none,will-change,"책. Future publishing/rights model expected."
/ko/notes/,ko,featured entrance,sitemap,yes,none,will-change,"Current 아침 식탁 doorway."
/ko/stories/,ko,primary,sitemap,yes,none,will-change,"이야기. Major S1/S3 architecture target."
/ko/studio/,ko,primary,sitemap,yes,none,stable,"작업실."
/ko/childhood/,ko,legacy alias,redirects,no,301 -> /ko/archive/,stable,"Keep redirect compatibility unless URL policy ADR explicitly retires it."
/ko/morning-table/,ko,legacy alias,redirects,no,301 -> /ko/notes/,stable,"Keep redirect compatibility unless URL policy ADR explicitly retires it."
/ko/esther/,ko,legacy alias,redirects,no,301 -> /ko/about/,stable,"Keep redirect compatibility unless URL policy ADR explicitly retires it."
